"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"1"	8860	44330	5830	14610	1550
"2"	2290	12870	5910	5370	4750
"3"	8080	12800	20760	11870	1770
"4"	5790	7770	5910	13990	3070
"5"	5560	22650	3200	3060	1570
"6"	3380	32070	5170	5560	3090
"7"	7550	54860	5310	13220	3140
"8"	5690	26380	8160	17360	2860
"9"	8740	5810	3910	5130	2690
"10"	9310	31660	9920	13110	5100
"11"	7860	27660	23160	14110	2490
"12"	6960	15960	5910	12110	3140
"13"	9310	25850	5900	5650	3090
"14"	11920	25380	5910	12070	3890
"15"	5760	34060	5910	14480	1550
"16"	8500	21760	17890	5850	1590
"17"	11260	19180	26120	13840	6730
"18"	7480	38860	5910	12070	2740
"19"	3900	12850	15600	13850	1690
"20"	9200	15530	7110	12750	3140
"21"	3430	15510	18650	11880	3140
"22"	11690	38050	5510	14600	6160
"23"	8360	21900	5180	12860	9240
"24"	2490	3380	5150	13010	1550
"25"	5290	9770	5910	15140	1560
"26"	4650	27050	5910	4150	3590
"27"	9370	33470	13470	4270	2690
"28"	8320	12070	9040	16060	3140
"29"	9870	21000	15180	11480	2890
"30"	7930	15020	20980	8340	5750
"31"	8360	14270	4160	13050	4380
"32"	9860	6790	4050	13870	3140
"33"	9190	17270	22030	12420	3070
"34"	9800	28290	5570	5910	1580
"35"	8540	24190	6720	5110	5030
"36"	4300	16510	2300	18720	3140
"37"	17460	4780	17650	7170	7730
"38"	11800	9720	5310	11890	2380
"39"	8140	35110	5990	15740	3490
"40"	1540	25850	5360	15040	2690
"41"	2770	23450	6740	11660	2690
"42"	17380	34240	5910	8470	3140
"43"	2220	7180	7110	15090	3180
"44"	9750	15270	5910	14800	2590
"45"	4230	18840	17760	10740	3890
"46"	12070	18410	5510	8930	3490
"47"	9070	21500	5370	4300	2360
"48"	12080	23670	5910	14420	1550
"49"	10800	12420	5910	3910	3090
"50"	8770	28220	22620	3550	2760
"51"	6010	3570	20560	19220	2690
"52"	10970	13390	9760	15460	4380
"53"	8760	5570	20960	14480	1550
"54"	10720	8170	4160	12650	3140
"55"	11790	12800	5910	16420	3070
"56"	2920	20480	5760	14140	3180
"57"	9520	31230	12590	4310	5700
"58"	9270	24900	5910	13350	3140
"59"	6130	22780	18560	12930	3780
"60"	1960	25610	13800	16840	3140
"61"	6640	19640	6920	14890	2210
"62"	8500	26190	5910	6890	6370
"63"	2770	11290	22760	14570	3260
"64"	12180	13690	13290	13360	3140
"65"	3430	13920	5910	10570	6340
"66"	3550	17010	3740	11840	2890
"67"	8270	19270	23930	3170	2690
"68"	5740	17900	7450	4900	3490
"69"	8790	35200	16150	9550	4290
"70"	9100	31870	5910	13340	2690
"71"	5060	26110	25760	12480	2890
"72"	3230	56570	16340	15560	1550
"73"	7390	2310	5780	9780	3140
"74"	6090	23570	12200	13750	3140
"75"	5980	19050	5510	10140	5550
"76"	8770	29620	21920	9030	5960
"77"	8220	40500	18920	10550	1860
"78"	5920	14080	13510	13550	2690
"79"	7440	22110	9660	6900	3430
"80"	3180	17630	5910	16550	2690
"81"	3170	7940	5910	16760	3140
"82"	6560	13420	21760	6830	3540
"83"	8960	30990	30000	14740	1550
"84"	6430	20690	16160	12940	1660
"85"	1550	13420	19650	7920	1770
"86"	2580	6320	21360	3610	3140
"87"	7190	25850	8480	13730	5740
"88"	2590	15230	19220	13500	3590
"89"	9200	27470	5910	3580	2990
"90"	7180	11740	14820	2700	3470
"91"	7800	6590	5310	3180	3140
"92"	4970	6840	18960	11380	2310
"93"	2030	22100	6280	14400	3450
"94"	12340	30580	10300	13140	1620
