"Generation"	"AvgFitness"	"MinFitness"	"MaxFitness"
"1"	0	4786	402	10965
"2"	1	4936	794	10769
"3"	2	5152	605	14722
"4"	3	5100	1040	9309
"5"	4	5359	1249	14114
"6"	5	5432	1294	11778
"7"	6	5294	1355	10826
"8"	7	5514	1641	13330
"9"	8	5490	1874	11782
"10"	9	5583	2282	11612
"11"	10	5716	1841	13626
"12"	11	5785	2114	13634
"13"	12	5767	2150	11141
"14"	13	5981	2775	11770
"15"	14	5946	2464	11837
"16"	15	6152	2964	11813
"17"	16	6183	2967	12130
"18"	17	6056	3036	11534
"19"	18	6084	1877	12060
"20"	19	6212	3190	13583
"21"	20	6381	3461	14184
"22"	21	6444	3243	15409
"23"	22	6456	3640	13151
"24"	23	6415	3347	11619
"25"	24	6452	3947	11679
"26"	25	6469	3623	12077
"27"	26	6633	2173	12550
"28"	27	6690	4025	12128
"29"	28	6899	4238	15456
"30"	29	6817	4163	11599
"31"	30	7036	4129	13036
"32"	31	6987	529	12834
"33"	32	6956	4168	12887
"34"	33	7096	4347	15337
"35"	34	7068	4119	13238
"36"	35	7199	4404	13956
"37"	36	7174	4313	11176
"38"	37	7258	4588	13600
"39"	38	7391	4560	13978
"40"	39	7370	4213	13780
"41"	40	7214	3895	14002
"42"	41	7394	4426	13079
"43"	42	7618	4299	14946
"44"	43	7602	4511	13948
"45"	44	7657	4653	12636
"46"	45	7486	4661	18258
"47"	46	7738	4808	12416
"48"	47	7721	4975	13838
"49"	48	7736	4706	14027
"50"	49	7502	4143	12031
"51"	50	7746	4568	12751
"52"	51	7770	4764	13913
"53"	52	7898	4874	13148
"54"	53	7791	4745	12123
"55"	54	7916	4898	12930
"56"	55	8127	5119	13739
"57"	56	7928	5153	13077
"58"	57	8108	5000	14589
"59"	58	8190	4994	13426
"60"	59	8242	4716	14792
"61"	60	7977	5485	13484
"62"	61	8249	5501	12820
"63"	62	8118	5629	14087
"64"	63	8133	5697	12912
"65"	64	8159	5484	13891
"66"	65	8204	4932	13882
"67"	66	8389	4447	14928
"68"	67	8285	5932	12936
"69"	68	8466	4454	21355
"70"	69	8672	5141	23617
"71"	70	8618	5654	20536
"72"	71	8803	5919	20854
"73"	72	8584	5443	15818
"74"	73	8814	6007	21909
"75"	74	8627	6069	18189
"76"	75	8917	6072	18746
"77"	76	8958	5618	15995
"78"	77	8746	5049	22597
"79"	78	9138	5757	23781
"80"	79	8954	5690	19906
"81"	80	8985	5992	20784
"82"	81	8998	6020	23596
"83"	82	9204	5537	17533
"84"	83	9152	5041	22199
"85"	84	9009	5906	22531
"86"	85	9265	6066	20154
"87"	86	9430	5554	21568
"88"	87	9396	6649	19326
"89"	88	9227	5804	18354
"90"	89	9202	5756	21834
"91"	90	9225	6049	21694
"92"	91	9214	6308	21389
"93"	92	9445	5810	18272
"94"	93	9425	4686	19105
